,Object,RA (degrees),DEC (degrees),RA (hms_h),RA (hms_m),RA (hms_s),DEC (hms_h),DEC (hms_m),DEC (hms_s),RA (dms_d),RA (dms_m),RA (dms_s),DEC (dms_d),DEC (dms_m),DEC (dms_s)
0,M1,83.63308333,22.0145,5.0,34.0,31.939999200005502,1.0,28.0,3.480000000001695,83.0,37.0,59.099988000018584,22.0,0.0,52.20000000000624
1,M2,323.36258333,-0.82325,21.0,33.0,27.019999200021232,-0.0,-3.0,-17.580000000000034,323.0,21.0,45.299988000024314,-0.0,-49.0,-23.700000000000188
2,M3,205.54841667,28.37727778,13.0,42.0,11.620000800008086,1.0,53.0,30.546667200000854,205.0,32.0,54.3000119999806,28.0,22.0,38.200008000000025
3,M4,245.89675,-26.52575,16.0,23.0,35.2200000000164,-1.0,-46.0,-6.180000000000945,245.0,53.0,48.29999999999018,-26.0,-31.0,-32.699999999994986
4,M5,229.63841667,2.08102778,15.0,18.0,33.220000800007625,0.0,8.0,19.44666720000008,229.0,38.0,18.300011999992876,2.0,4.0,51.70000799999958
5,M6,265.08333333,-32.25333333,17.0,40.0,19.999999200020113,-2.0,-9.0,-0.7999992000000589,265.0,4.0,59.99998800005869,-32.0,-15.0,-11.999987999988093
6,M7,268.4625,-34.79333333,17.0,53.0,51.00000000000307,-2.0,-19.0,-10.39999920000156,268.0,27.0,44.999999999918145,-34.0,-47.0,-35.9999880000106
7,M8,270.90416667,-24.38666667,18.0,3.0,37.000000800011605,-1.0,-37.0,-32.80000080000093,270.0,54.0,15.000011999982235,-24.0,-23.0,-12.000012000001163
8,M9,259.79908333,-18.51625,17.0,19.0,11.779999200010707,-1.0,-14.0,-3.9000000000009294,259.0,47.0,56.699987999904806,-18.0,-30.0,-58.499999999997954
9,M10,254.28770833,-4.10030556,16.0,57.0,9.049999200007903,-0.0,-16.0,-24.073334400000164,254.0,17.0,15.749987999952282,-4.0,-6.0,-1.1000159999992576
