,Object,RA (degrees),DEC (degrees),RA (hms_h),RA (hms_m),RA (hms_s),DEC (hms_h),DEC (hms_m),DEC (hms_s),RA (dms_d),RA (dms_m),RA (dms_s),DEC (dms_d),DEC (dms_m),DEC (dms_s)
0,NGC3000,147.213649,44.130269,9.0,48.0,51.27576000000687,2.0,56.0,31.2645600000009,147.0,12.0,49.13640000001351,44.0,7.0,48.96839999999429
1,NGC3001,146.57770591,-30.43751391,9.0,46.0,18.649418400002702,-2.0,-1.0,-45.00333840000167,146.0,34.0,39.741275999970185,-30.0,-26.0,-15.050075999999422
2,NGC3002,147.28208333,44.0475,9.0,49.0,7.699999200009557,2.0,56.0,11.400000000001995,147.0,16.0,55.49998800002186,44.0,2.0,50.999999999997954
3,NGC3003,147.15020833,33.42148889,9.0,48.0,36.04999920000765,2.0,13.0,41.15733360000149,147.0,9.0,0.7499879999932091,33.0,25.0,17.36000399999682
4,NGC3004,147.260204,44.11103,9.0,49.0,2.448960000005087,2.0,56.0,26.647200000002016,147.0,15.0,36.7343999999548,44.0,6.0,39.707999999998265
5,NGC3005,147.31252917,44.13135,9.0,49.0,15.007000800008399,2.0,56.0,31.524000000001138,147.0,18.0,45.10501200001727,44.0,7.0,52.85999999999149
6,NGC3006,147.32226667,44.0258,9.0,49.0,17.34400080001052,2.0,56.0,6.192000000001343,147.0,19.0,20.160012000017105,44.0,1.0,32.87999999998817
7,NGC3007,146.94007917,-6.43815278,9.0,47.0,45.619000800003136,-0.0,-25.0,-45.15666720000027,146.0,56.0,24.2850119999639,-6.0,-26.0,-17.35000800000087
8,NGC3008,147.39274842,44.10269643,9.0,49.0,34.259620800005166,2.0,56.0,24.64714320000212,147.0,23.0,33.89431200001354,44.0,6.0,9.707148000006214
9,NGC3009,147.54634293,44.29503954,9.0,50.0,11.122303200009753,2.0,57.0,10.809489600001143,147.0,32.0,46.83454800003119,44.0,17.0,42.14234399999157
10,NGC3010,147.63812575,44.3143393,9.0,50.0,33.15018000000478,2.0,57.0,15.441432000002635,147.0,38.0,17.25270000000137,44.0,18.0,51.621480000001156
11,NGC3011,147.42167696,32.22110947,9.0,49.0,41.20247040001303,2.0,8.0,53.066272800001606,147.0,25.0,18.037056000048324,32.0,13.0,15.994092000006503
12,NGC3012,147.46700833,34.71405278,9.0,49.0,52.08199920000695,2.0,18.0,51.372667200002624,147.0,28.0,1.229987999995501,34.0,42.0,50.590008000010585
13,NGC3013,147.53898352,33.56934507,9.0,50.0,9.356044800004781,2.0,14.0,16.642816800000162,147.0,32.0,20.340671999956612,33.0,34.0,9.64225199998964
14,NGC3014,147.281875,-4.74293611,9.0,49.0,7.650000000010095,-0.0,-18.0,-58.304666400000116,147.0,16.0,54.75000000004911,-4.0,-44.0,-34.56999599999875
15,NGC3015,147.34547732,1.14539121,9.0,49.0,22.914556800002686,0.0,4.0,34.893890400000075,147.0,20.0,43.718351999950755,1.0,8.0,43.408356000000374
16,NGC3016,147.46115,12.69526111,9.0,49.0,50.67600000000979,0.0,50.0,46.86266640000056,147.0,27.0,40.140000000012606,12.0,41.0,42.939996000002054
17,NGC3017,147.26255833,-2.82169167,9.0,49.0,3.0139992000036386,-0.0,-11.0,-17.206000800000183,147.0,15.0,45.20998799996505,-2.0,-49.0,-18.090011999999547
18,NGC3018,147.42265417,0.62120833,9.0,49.0,41.43700080000329,0.0,2.0,29.089999200000047,147.0,25.0,21.55501199995342,0.0,37.0,16.34998799999991
19,NGC3019,147.53000019,12.74612046,9.0,50.0,7.200045600008309,0.0,50.0,59.0689104000009,147.0,31.0,48.00068400003511,12.0,44.0,46.03365600000075
20,NGC3020,147.52749583,12.8136,9.0,50.0,6.59899920000413,0.0,51.0,15.264000000000237,147.0,31.0,38.98498799997242,12.0,48.0,48.959999999997166
21,NGC3021,147.73810783,33.55359512,9.0,50.0,57.1458792000044,2.0,14.0,12.862828800000372,147.0,44.0,17.188187999963702,33.0,33.0,12.942431999989594
22,NGC3022,147.41360417,-5.16664444,9.0,49.0,39.26500080001304,-0.0,-20.0,-39.99466560000016,147.0,24.0,48.97501200004854,-5.0,-9.0,-59.91998399999922
23,NGC3023,147.46931667,0.61787778,9.0,49.0,52.63600080000671,0.0,2.0,28.290667200000037,147.0,28.0,9.540012000043134,0.0,37.0,4.360008000000022
24,NGC3024,147.6141375,12.76562222,9.0,50.0,27.393000000008527,0.0,51.0,3.7493328000006443,147.0,36.0,50.894999999993615,12.0,45.0,56.239991999996874
25,NGC3025,147.37110833,-21.74227778,9.0,49.0,29.065999200006445,-1.0,-26.0,-58.14666720000048,147.0,22.0,15.989987999994355,-21.0,-44.0,-32.2000079999944
26,NGC3026,147.73045417,28.55118056,9.0,50.0,55.309000800007624,1.0,54.0,12.283334400000996,147.0,43.0,49.635012000005645,28.0,33.0,4.250015999995753
27,NGC3027,148.91929583,72.20356667,9.0,55.0,40.630999200011786,4.0,48.0,48.85600080000273,148.0,55.0,9.4649880000361,72.0,12.0,12.840012000002616
28,NGC3028,147.47592083,-19.18417222,9.0,49.0,54.22099920001017,-1.0,-16.0,-44.2013328000008,147.0,28.0,33.31498800002464,-19.0,-11.0,-3.0199920000023894
29,NGC3029,147.22506667,-8.05090556,9.0,48.0,54.016000800004775,-0.0,-32.0,-12.21733440000051,147.0,13.0,30.240011999962917,-8.0,-3.0,-3.260016000001258
30,NGC3030,147.54389479,-12.22634924,9.0,50.0,10.534749600002868,-0.0,-48.0,-54.32381760000027,147.0,32.0,38.02124399998547,-12.0,-13.0,-34.85726399999763
31,NGC3031,148.88822109,69.0652947,9.0,55.0,33.17306160000726,4.0,36.0,15.670728000002327,148.0,53.0,17.595924000006562,69.0,3.0,55.06091999998375
32,NGC3032,148.03395323,29.23622866,9.0,52.0,8.148775200008913,1.0,56.0,56.6948784000013,148.0,2.0,2.231628000031378,29.0,14.0,10.42317599999393
33,NGC3033,147.15416667,-56.42166667,9.0,48.0,37.00000080000521,-3.0,-45.0,-41.200000800003096,147.0,9.0,15.000011999982235,-56.0,-25.0,-18.000012000001675
